source_node,target_node,weight
2,650,64972
2,434,424680
2,433,521992
2,224,20474
3,1315,19551
3,209,693966
4,633,108412
4,632,577420
4,604,2628
4,570,4129060
4,193,137084
4,178,124316
4,169,476776
6,714,571254
8,404,12088
8,169,953552
8,888,7152
8,69,2759120
8,741,1721336
8,29,1168
9,226,198225
10,904,237090
11,1020,44924
19,307,13642
19,239,205789
19,43,92264
19,36,1051460
19,30,619628
19,26,2493712
22,16,19206
25,315,4133675
25,172,20375
26,325,1904162
26,239,281606
26,145,5279846
26,59,65073034
26,36,1438840
26,19,107380
28,722,13096412
29,246,132675
29,97,46052
29,69,10001810
30,425,278700
30,386,25350
30,307,21540
30,239,324930
30,102,2520
30,43,145680
30,26,3937440
30,19,123900
31,1326,14063150
32,313,1329760
32,281,113344
33,839,7205220
33,73,2481501
34,809,31518
35,587,18865
35,585,97755
35,584,6580
35,553,193830
35,525,112070
35,492,309960
35,396,250810
35,368,2555
35,284,780045
35,267,14323365
35,251,13020
35,241,17535
35,231,44975
35,223,70350
35,173,101955
35,170,117320
35,149,16450
35,144,110950
35,70,135520
35,60,1822275
35,53,286720
35,43,169960
35,36,1936900
35,7,108745
38,280,172976
38,1048,3031146
39,245,897312
39,203,272220
40,292,738160
40,36,2213600
42,1345,2890860
42,1210,113568
42,1173,30366
42,764,184464
42,699,22748712
43,585,120099
43,425,399470
43,284,958341
43,239,465733
43,144,136310
43,36,2379620
43,35,223342
43,30,1402316
43,26,5643664
43,19,177590
44,404,66484
44,246,201300
44,888,39336
44,97,69872
46,1249,8016052
46,512,102120
46,510,146556
46,500,1532398
46,1207,23138
46,422,53483096
46,341,1759178
46,290,297712
46,199,851184
46,163,951924
46,76,106076
47,617,79853
47,595,33135
47,586,503652
47,559,40749
47,517,190632
47,475,56870
47,469,11797
47,1204,38164
47,439,658188
47,432,25615
47,416,6956
47,391,16685
47,1168,250322
47,350,79618
47,341,1797421
47,1098,94376
47,283,78866
47,1020,191948
47,121,455007
47,699,25456892
49,123,761411
49,813,26548249
49,57,56154
49,699,26540164
52,117,57148
52,818,158496
54,1320,489672
54,1286,913410
54,1255,48438
54,488,615330
54,356,1640412
54,348,943542
54,341,2065122
54,324,436806
54,1094,30451518
54,1031,165942
54,969,12636540
54,891,435240
54,782,297270
54,716,566190
54,699,29248344
56,1094,31579352
56,969,13104560
56,54,485240
56,15,21959896
57,607,316806
57,512,126540
57,500,1898841
57,477,28557
57,318,16143996
57,303,257811
57,1094,32143269
57,1025,68229
57,199,1054728
57,198,45241014
57,185,79344
57,123,885723
57,813,30882657
57,76,131442
57,46,66975
58,243,510226
60,292,1107240
63,683,229635
64,433,16703744
67,121,648627
68,642,39103672
68,318,19259504
68,969,15912680
69,1332,36915
69,613,15422052
69,1296,2480136
69,1282,207483
69,582,189129
69,570,71226285
69,555,1707957
69,534,7687842
69,533,318297
69,496,94668
69,482,186024
69,468,180228
69,462,77832
69,459,124407
69,454,127305
69,440,111780
69,429,87285
69,427,224664
69,421,995187
69,407,211140
69,403,11730
69,401,510186
69,392,251091
69,376,514050
69,374,1172103
69,367,2084559
69,354,6758412
69,353,95220
69,345,2598540
69,343,7487259
69,335,9386691
69,1130,213900
69,330,422763
69,329,11727033
69,320,139311
69,1120,70449
69,289,4546962
69,288,86319
69,286,10400922
69,1074,1827258
69,1041,16227627
69,211,350727
69,209,15961218
69,994,172883433
69,193,2364699
69,971,16698
69,178,2144451
69,176,230805
69,169,8224386
69,166,1209363
69,936,32361
69,154,53061
69,150,426696
69,138,85353
69,888,61686
69,882,109296
69,839,15065460
69,100,74520
69,80,75624
69,72,201756
69,741,14846523
69,13,564973794
69,4,6403683
71,322,2349319
71,722,33208759
72,345,2711520
72,288,90072
72,286,10853136
72,271,22104
72,237,58032
72,175,214344
72,150,445248
72,138,89064
72,882,114048
73,422,84875348
73,377,603637
73,1112,89425
73,813,39551473
75,248,137550
75,785,2568150
76,642,43704104
76,512,168720
76,500,2531788
76,477,38076
76,1200,196308
76,388,827640
76,303,343748
76,199,1406304
76,185,105792
76,813,41176876
79,157,67071
79,785,2705118
79,760,13657125
79,702,120091455
79,671,1615471
80,533,369040
80,454,147600
80,429,101200
80,427,260480
80,401,591520
80,343,8680880
80,69,27591200
83,198,65877266
83,699,44955788
84,560,752472
84,548,307272
84,505,784476
84,500,2798292
84,124,305592
84,111,82656
84,846,45780
84,88,665952
85,611,683570
85,130,3129785
88,1068,50748720
89,724,1067733
91,268,4210115
92,1310,2346092
92,1301,784944
92,1295,14106084
92,544,202124
92,1198,1280364
92,1165,3955080
92,1029,1172540
92,1000,136712
92,978,3721492
92,956,89700
92,937,21112252
92,445,292652
92,802,21322656
92,750,470396
95,1048,7577865
96,41,1049856
97,609,510899
97,154,74593
97,888,86718
97,129,474524
97,69,33454330
100,632,14435500
100,570,103226500
100,994,250555700
100,741,21516700
100,4,9280700
101,1039,1154329
101,36,5589340
101,5,971418
102,101,1234404
102,36,5644680
102,30,3326424
102,26,13387296
103,702,156574935
104,560,931632
105,387,64680
105,1033,351750
105,1013,537915
105,969,24571050
108,645,1643652
108,1249,18820296
108,498,1036584
108,458,144373320
108,422,125569008
108,387,66528
108,349,11085336
108,1094,60903036
108,1081,1771416
108,1074,2860056
108,258,35265132
108,240,100332
108,1046,164700
108,233,1253421864
108,226,2378700
108,1013,553284
108,1009,1998864
108,969,25273080
108,168,175932
108,147,1647432
108,105,185220
108,839,23580720
108,787,1570644
108,722,50514732
108,15,42351228
110,219,15016540
112,763,396816
113,124,411094
113,860,74580
113,846,61585
113,74,243289
113,764,496296
113,704,104299
116,642,66706264
116,944,68561916
121,642,69581534
121,617,205579
121,586,1296636
121,1267,1902362
121,517,490776
121,515,243452
121,475,146410
121,474,20328
121,469,30371
121,444,231352
121,432,65945
121,416,17908
121,402,22143
121,391,42955
121,1168,644446
121,350,204974
121,1098,242968
121,1075,68244
121,283,203038
121,47,109142
121,11,1573121
123,813,66641523
124,74,266972
129,609,679443
129,264,120873
129,246,590175
129,888,115326
129,69,44490810
129,44,505680
129,29,18834
130,611,1045460
130,522,162370
130,492,1151280
130,284,2897310
130,231,167050
130,145,26399230
130,60,6768450
130,59,325365170
130,48,205140
130,724,1559610
130,36,7194200
130,7,403910
130,5,1250340
132,778,9334380
132,675,186064428
133,702,202179285
137,344,17799999
137,708,5049957
138,570,142452570
138,534,15375684
138,994,345766866
139,520,2150330
139,480,46982
139,478,120513
139,470,233103
139,465,98829
139,463,22379
139,332,569761
139,263,162630
139,212,3113183
139,199,2572056
143,763,506649
143,756,1110967
144,585,402192
144,584,27072
144,553,797472
144,251,53568
144,35,747936
145,53,1187840
145,40,2520970
145,36,8024300
145,26,19030960
145,5,1394610
146,1117,1757110
148,530,4673248
148,422,172076048
148,408,252636
148,167,18570744
148,58,11323628
149,144,472330
149,36,8245660
149,35,773906
150,570,154839750
150,534,16712700
150,502,702450
150,286,22610700
150,237,120900
150,994,375833550
150,971,36300
150,176,501750
150,175,446550
150,138,185550
150,882,237600
150,72,438600
150,753,210750
150,741,32275050
152,645,2313288
152,702,231062040
154,582,422114
154,888,137676
154,97,244552
154,69,53113060
158,535,1323882
158,485,4083668
159,1337,2082900
159,140,151368
159,860,104940
159,846,86655
163,341,6233609
163,318,46166164
163,263,190710
163,199,3016152
163,198,129373426
163,123,2532857
167,642,96034018
167,1308,26479019
167,1286,2824805
167,518,1843847
167,460,1207076
167,296,8891247
167,1088,328155
167,192,482287316
167,68,1048259
167,754,204742
167,37,409920705
169,1296,6074536
169,994,423439133
169,69,58286410
169,4,15684383
170,173,495210
170,70,658240
173,170,579896
173,70,669856
174,782,957870
175,237,141050
176,570,181678640
176,534,19609568
178,633,4824334
178,632,25695190
178,193,6100238
180,642,103509720
180,560,1612440
180,530,5683680
180,451,1930500
180,361,186854400
180,256,2408940
180,163,3724920
180,123,2797020
180,73,13535460
180,37,441830700
181,1278,345529
182,708,6708702
185,198,146834870
185,813,100233185
187,444,357544
187,254,26928
187,121,1810347
187,67,42075
187,719,339966
187,699,101285932
189,1326,85739850
189,18,285390
190,1102,36862470
190,226,4184750
193,633,5230879
193,178,5998247
193,4,17911751
197,568,57714302
197,489,4153745
198,341,7572114
198,318,56079144
198,98,66224862
199,510,634014
199,500,6629287
199,422,231372524
199,268,9206735
203,1249,35375186
203,510,646758
203,1094,114475151
203,294,390572
203,258,66285387
203,814,680659
203,66,2994992574
203,54,1758995
203,699,109952108
207,234,399717
207,922,1659519
208,317,45968
208,313,8643440
208,281,736736
208,755,49335104
208,32,199680
208,702,316190160
212,520,3279640
212,470,355524
212,341,8107516
212,318,60044336
212,314,1469160
212,290,1372064
212,268,9808180
212,1001,412340
212,199,3922848
212,198,168264824
212,13,1735861512
214,756,1662566
217,650,7049462
217,433,56636132
217,245,4992736
217,64,3106138
217,740,407309
219,304,28090911
219,296,11659779
219,226,4823475
219,714,20850771
219,9,1995966
223,284,4970001
223,170,747496
223,145,45284833
223,36,12340820
224,650,7276864
224,434,47564160
224,245,5153792
224,2,2175936
227,415,10815869
227,997,380397066
228,313,9474540
228,208,1518252
228,920,2696784
228,755,54078864
228,738,1061340
229,1102,44428977
229,1100,682878
229,1029,2918605
229,1014,154346
229,1000,340294
229,836,3992386
229,788,173582
231,492,2045736
231,425,2145990
231,386,195195
231,284,5148297
231,239,2501961
231,40,4016166
231,36,12783540
231,35,1199814
231,26,30318288
231,19,954030
231,5,2221758
234,207,1301040
234,922,1875978
235,375,126900
235,363,127840
235,199,4348440
235,163,4863090
237,570,244646805
237,534,26406066
237,502,1109871
237,286,35724906
237,1071,136038
237,271,72759
237,994,593817009
237,175,705549
237,150,1465608
237,138,293169
237,882,375408
237,72,692988
237,741,50994579
240,839,52401600
242,1308,38370794
242,431,70422
242,349,24839364
242,304,31041098
242,295,1226456
242,1088,475530
242,1067,1151194
242,243,2128874
242,219,33036388
242,1026,5076918
242,972,859584
242,969,56630420
242,869,1181928
242,803,726726
242,736,6652096
242,721,22876260
243,257,417231
244,1102,47339172
245,434,52023300
246,888,219924
246,97,390648
246,44,964320
246,741,52931082
247,1094,139287499
247,123,3838133
247,813,133824847
251,585,701043
251,144,795670
251,43,1218856
251,36,13890340
251,35,1303694
251,30,8185612
256,642,147213824
256,1278,488704
256,519,793600
256,422,297645056
256,380,164123648
256,318,72506368
256,233,2971074048
256,198,203187712
256,901,934144
256,71,5249536
256,66,3776936448
257,243,2260829
259,13,2120698734
260,434,55208400
260,233,3017497080
260,131,75416120
260,66,3835951080
261,15,102348801
262,1037,1356636
262,708,9657582
262,702,398277990
263,1094,148310171
263,199,4866552
263,123,4086757
263,813,142493663
263,57,301398
264,570,272517960
264,534,29414352
264,994,661467048
264,192,762418272
264,741,56804088
268,607,1489544
268,500,8927884
268,1200,692244
268,422,311597168
268,388,2918520
268,341,10249124
268,290,1734496
268,199,4959072
268,198,212712136
268,123,4164452
268,813,145202668
268,73,20152796
270,869,1318680
271,570,279743815
271,534,30194278
271,286,40849998
271,237,218426
271,994,679005947
271,150,1675864
271,72,792404
271,741,58310257
272,388,2962080
272,1094,153385424
272,268,12584080
272,813,147369872
274,702,416519730
275,836,4794350
276,61,10202340
277,1196,2795761
277,1102,53741601
277,1100,826014
277,275,154012
277,1062,1301900
277,229,254286
277,1029,3530365
277,1014,186698
277,1000,411622
277,836,4829218
277,702,421080165
279,1192,1792017
279,746,1175985
281,317,62101
281,313,11676955
281,208,1871179
281,127,10397
281,115,102565
281,755,66649828
281,32,269760
282,315,46627854
282,45,9544290
283,641,211967
283,617,480817
283,595,199515
283,586,3032628
283,559,245361
283,529,155084
283,517,1147848
283,515,569396
283,475,342430
283,474,47544
283,469,71033
283,1204,229796
283,444,541096
283,432,154235
283,416,41884
283,402,51789
283,391,100465
283,1168,1507258
283,370,59147
283,350,479402
283,1098,568264
283,1075,159612
283,121,2739723
283,81,740045
283,47,255266
283,27,55751
284,553,1572792
284,525,909368
284,492,2515104
284,144,900280
284,60,14786460
284,36,15716560
284,30,9261808
284,26,37274432
284,5,2731512
286,633,7751458
286,570,295227790
286,534,31865548
286,533,1319318
286,523,167310
286,496,392392
286,482,771056
286,468,747032
286,464,10534238
286,462,322608
286,459,515658
286,455,288860
286,450,92582776
286,440,463320
286,435,736736
286,429,361790
286,427,931216
286,421,4124978
286,413,116116
286,407,875160
286,403,48620
286,401,2114684
286,400,482482
286,376,2130700
286,374,4858282
286,372,173888
286,367,8640346
286,354,28013128
286,353,394680
286,345,10770760
286,343,31034146
286,339,126698
286,1130,886600
286,331,187616
286,330,1752322
286,329,48607702
286,320,577434
286,1093,39122798
286,296,15226926
286,289,18846828
286,288,357786
286,1071,164164
286,271,87802
286,237,230516
286,1041,67262338
286,211,1453738
286,994,716589302
286,193,9801506
286,971,69212
286,176,956670
286,175,851422
286,936,134134
286,150,1768624
286,138,353782
286,882,453024
286,99,3895892
286,72,836264
286,69,98638540
286,753,401830
286,741,61537762
286,705,666952
286,702,434761470
286,691,595738
286,4,26542802
287,361,297928960
287,296,15280167
287,969,67160870
287,123,4459693
287,58,21958657
288,376,2145600
288,882,456192
289,401,2136866
290,642,166765660
290,500,9660770
290,430,8100280
290,371,742690
290,348,5067170
290,341,11090470
290,314,2009700
290,268,13416850
290,212,6495130
290,199,5366160
290,163,6001260
290,901,1058210
290,73,21807130
290,46,340750
292,35,1516648
293,337,9118746
294,642,169065876
294,1267,4622268
294,489,6198990
294,422,341826744
294,1188,1287132
294,1128,4468212
294,1020,1200696
294,997,492672852
294,969,68798940
294,922,2356998
294,147,4484676
294,839,64191960
294,816,2883846
294,813,159289494
294,722,137512326
294,721,27791820
294,699,159240984
295,243,2595115
296,554,3597288
296,1230,1036000
296,408,505272
296,385,2665184
296,349,30382032
296,347,769896
296,338,2565136
296,304,37967624
296,287,980648
296,243,2603912
296,219,40408144
