node,polarity,fan_size
1,neutral,233
2,neutral,9714
3,neutral,1474
4,neutral,92807
5,neutral,9618
6,neutral,2556
7,neutral,3107
8,neutral,751
9,neutral,9114
10,neutral,36611
11,neutral,13001
12,neutral,572
13,neutral,8188026
14,neutral,332
15,neutral,392141
16,neutral,873
17,neutral,2589
18,neutral,1510
19,neutral,4130
20,neutral,45
21,neutral,1429
22,neutral,595
23,neutral,638
24,neutral,2760
25,neutral,6238
26,neutral,131248
27,neutral,197
28,neutral,119
29,neutral,146
30,neutral,32612
31,neutral,58086
32,neutral,960
33,neutral,29676
34,neutral,1430
35,neutral,5194
36,neutral,55340
37,neutral,2454615
38,neutral,4824
39,neutral,859
40,neutral,17386
41,neutral,10936
42,neutral,806
43,neutral,4856
44,neutral,3920
45,neutral,33845
46,neutral,1175
47,neutral,902
48,neutral,1578
49,neutral,787
50,neutral,8355
51,neutral,221
52,neutral,10124
53,neutral,8192
54,neutral,8665
55,neutral,91
56,neutral,4500
57,neutral,1146
58,neutral,76511
59,neutral,2502809
60,neutral,52065
61,neutral,36965
62,neutral,1706
63,neutral,15903
64,neutral,14314
65,neutral,548
66,neutral,14753658
67,neutral,225
68,neutral,6277
69,neutral,344890
70,neutral,3872
71,neutral,20506
72,neutral,2924
73,neutral,75197
74,neutral,2153
75,neutral,1941
76,neutral,2306
77,neutral,238
78,neutral,17721
79,neutral,1961
80,neutral,1096
81,neutral,2615
82,neutral,1371
83,neutral,1968
84,neutral,1558
85,neutral,5464
86,neutral,1215
87,neutral,3163
88,neutral,7928
89,neutral,10116
90,neutral,56
91,neutral,1352
92,neutral,3674
93,neutral,44
94,neutral,602
95,neutral,3999
96,neutral,12104
97,neutral,1588
98,neutral,334469
99,neutral,13622
100,neutral,1080
101,neutral,12102
102,neutral,84
103,neutral,2547
104,neutral,414
105,neutral,1715
106,neutral,1097
107,neutral,337
108,neutral,28940
109,neutral,59
110,neutral,379
111,neutral,984
112,neutral,179
113,neutral,558
114,neutral,8382
115,neutral,365
116,neutral,64920
117,neutral,1099
118,neutral,184
119,neutral,65549
120,neutral,266
121,neutral,9681
122,neutral,64563
123,neutral,15539
124,neutral,3638
125,neutral,102
126,neutral,1027
127,neutral,37
128,neutral,801
129,neutral,4892
130,neutral,36821
131,neutral,290062
132,neutral,375
133,neutral,2663
134,neutral,514
135,neutral,28
136,neutral,1303
137,neutral,4186
138,neutral,1237
139,neutral,1744
140,neutral,952
141,neutral,177
142,neutral,31045
143,neutral,51
144,neutral,3170
145,neutral,203071
