node,polarity,fan_size,pos
a_001,anti_vaccines,94,"(1567.709717, -24218.75)"
a_00100,anti_vaccines,0,"(-1835.667725, 25781.25)"
a_001001,anti_vaccines,22175,"(160.108688, -749.809448)"
a_001002,anti_vaccines,423,"(-137.362717, -676.494263)"
a_001003,anti_vaccines,289,"(181.973236, -107.275665)"
a_001004,anti_vaccines,1860,"(176.026443, -575.499146)"
a_001005,anti_vaccines,563,"(-50.205498, -907.53772)"
a_001007,anti_vaccines,1026,"(837.199768, 38.245033)"
a_001008,anti_vaccines,2354,"(-117.37365, -622.076111)"
a_001009,anti_vaccines,2925,"(53.465477, -324.690552)"
a_001011,anti_vaccines,142,"(54.520298, -621.831482)"
a_001014,anti_vaccines,1513,"(-75.267494, -802.321655)"
a_001016,anti_vaccines,9216,"(6.519486, -932.641663)"
a_001019,anti_vaccines,1415,"(462.79483, -116.848625)"
a_001024,anti_vaccines,1442,"(81.046906, -582.994446)"
a_001028,anti_vaccines,1152,"(-72.71312, -493.466034)"
a_001029,anti_vaccines,3508,"(110.291908, -224.102448)"
a_00103,anti_vaccines,0,"(15453.017578, 25549.517578)"
a_001040,anti_vaccines,764,"(267.351624, -288.252686)"
a_001041,anti_vaccines,136673,"(53.860798, -732.543823)"
a_001049,anti_vaccines,2619,"(110.372841, -868.761597)"
a_001050,anti_vaccines,1019,"(-89.425812, -509.199707)"
a_001051,anti_vaccines,733,"(138.217285, -307.899017)"
a_001054,anti_vaccines,10181,"(-36.371891, -309.687653)"
a_001061,anti_vaccines,1171,"(-95.632202, -785.845459)"
a_001062,anti_vaccines,268,"(444.685608, 1168.882568)"
a_001063,anti_vaccines,366,"(55.324318, -591.818359)"
a_001067,anti_vaccines,27242,"(-14.824056, -886.660645)"
a_001073,anti_vaccines,505,"(18.576029, -377.503693)"
a_001081,anti_vaccines,358,"(116.449966, -458.224304)"
a_001083,anti_vaccines,5926,"(277.977875, -814.742371)"
a_001084,anti_vaccines,1854,"(382.203949, -339.271637)"
a_001091,anti_vaccines,2959,"(433.884552, -284.751984)"
a_001094,anti_vaccines,735,"(-28.354509, -672.581726)"
a_001097,anti_vaccines,883,"(-167.710144, -514.150269)"
a_001100,anti_vaccines,1685,"(182.277054, 134.434296)"
a_001102,anti_vaccines,9564,"(-65.443886, -759.760437)"
a_001107,anti_vaccines,1530,"(-73.370262, -620.110229)"
a_001110,anti_vaccines,2806,"(172.852936, -659.073975)"
a_001112,anti_vaccines,24648,"(357.791321, -761.266418)"
a_001117,anti_vaccines,3161,"(-81.608658, -468.728973)"
a_001118,anti_vaccines,31139,"(-36.336441, -972.009033)"
a_00112,anti_vaccines,28,"(13509.939453, -24218.75)"
a_001123,anti_vaccines,3319,"(430.950562, -546.550598)"
a_001124,anti_vaccines,14277,"(130.692749, -527.191833)"
a_001125,anti_vaccines,12577,"(120.156944, -657.889404)"
a_001126,anti_vaccines,4708,"(287.437866, -356.429718)"
a_001129,anti_vaccines,90665,"(144.861542, -668.897583)"
